Pathways, -log(p-value)1,z-score1, -log(p-value)2,z-score2
Leukocyte Extravasation Signaling,4.01,-0.186,8.12,4.427
IL-8 Signaling,3.79,0,7.19,5.126
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages,6.5,-1.029,6.14,4.644
PI3K Signaling in B Lymphocytes,3.26,-0.243,6.06,3.657
LPS/IL-1 Mediated Inhibition of RXR Function,3.23,2.673,6.06,-1.069
p53 Signaling,8.73,0.853,5.92,-0.426
Th1 Pathway,2.58,-3.153,5.53,2.353
Dendritic Cell Maturation,4.48,-0.928,5.48,5.096
Fc? Receptor-mediated Phagocytosis in Macrophages and Monocytes,5.39,1.528,5.35,4.491
NRF2-mediated Oxidative Stress Response,6.04,1.291,5.31,2.183
Cyclins and Cell Cycle Regulation,4.85,2.673,5.07,-2.183
Th2 Pathway,2.73,-2.5,4.98,1.225
B Cell Receptor Signaling,3.91,-2.268,4.97,3.773
Tec Kinase Signaling,3.04,-1.877,4.62,4.382
Role of NFAT in Regulation of the Immune Response,2.22,-1.043,4.58,5
Glioma Signaling,5.78,-2.683,4.51,1.789
Cell Cycle: G2/M DNA Damage Checkpoint Regulation,4.34,-2.111,4.5,1.069
PKC? Signaling in T Lymphocytes,2.7,-1.789,4.39,4.426
iCOS-iCOSL Signaling in T Helper Cells,2.36,-1.807,4.16,3.545
CD28 Signaling in T Helper Cells,4.9,-0.218,4.03,3.13
